ksz_GBBvvCU|ДМИТРИЙ ДОЛГОВ. "С берега".
Rw1QLTChowk|Час поэзии Клуб Кактус, Слет Халабала 2018
PDUGTYjuDoY|Элла Ромм , стихи, Слет Халабала 2018
uAlBsOxYL8M|Эдуард Прониловер стихи, Слет Халабала 2018
QDSWrh-WYvA|Песни на стихи Эллы Ромм , исполняют Элла Ромм, Андрей Пироженко и Энрико Пат,  Халабала 2018
FD2FB6JWuMY|Михаил Ромм, стихи, Слет Халабала 2018
a1e9z331_lk|Михаил Овсищер стихи Слет Халабала 2018
f6j_g1uyn4k|Мария Перцова, Сан Франциско, стихи, Слет Халабала 2018
iz4045J5cWg|Макс Ремпель, стихи, Слет Халабала 2018
nizHOi6LS_I|Леонид Симкин стихи Слет Халабала 2018
MpyB_WJLHeg|Клуб Кактус, Слет Халабала 2018, Михаил Овсищер и Татьяна Дрезис Торонто
Bc8GEUWEads|Клуб Кактус, Слет Халабала 2018, Аркадий Дубинчик, Washington DC
gUIbUHmRHbU|Клуб Кактус, Слет Халабала 2018, Анатолий Постолов Лос Анжелес
uBzhsAwvyDE|Дуэт Ирис, Светлана Дмитриева (Цинциннати) и Ирина Олимпиева (Санкт Петербург) Слет Халабал
6sGQz2wB3pg|Детский концерт, Клуб Кактус, Слет Халабала 2018
OvjyWJWmItA|Вячеслав Тросман, стихи, Слет Халабала 2018
P8GVSIahoBo|Аркадий Дубинчик,   стих,   Клуб Кактус, Слет Халабала 2018
O6Z_aWmfbx4|Александр Городницкий в Сан Диего 2018 г. , отделение 1
a9BnATGP_XY|Александр Городницкий  в Сан Диего 2018 г. , отделение 2
70DUofvagCo|Юрий Лорес домашник в Сан Диего 2017 Часть 1
s2t6Gd1dpsk|Юрий Лорес домашник в Сан Диего 2017 Часть 2
